"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"December 1","2011/12","September-August","Soybeans","Total storage","Total storage","2369885","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2011/12","September-August","Soybeans","On-farm storage","On-farm storage","555000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2011/12","September-August","Soybeans","Off-farm storage","Off-farm storage","819488","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2011/12","September-August","Soybeans","Total storage","Total storage","1374488","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2011/12","September-August","Soybeans","On-farm storage","On-farm storage","179000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2011/12","September-August","Soybeans","Off-farm storage","Off-farm storage","488465","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2011/12","September-August","Soybeans","Total storage","Total storage","667465","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2011/12","September-August","Soybeans","On-farm storage","On-farm storage","38250","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2011/12","September-August","Soybeans","Off-farm storage","Off-farm storage","131120","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2011/12","September-August","Soybeans","Total storage","Total storage","169370","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2012/13","September-August","Soybeans","On-farm storage","On-farm storage","910000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2012/13","September-August","Soybeans","Off-farm storage","Off-farm storage","1056161","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2012/13","September-August","Soybeans","Total storage","Total storage","1966161","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2012/13","September-August","Soybeans","On-farm storage","On-farm storage","456700","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2012/13","September-August","Soybeans","Off-farm storage","Off-farm storage","541320","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2012/13","September-August","Soybeans","Total storage","Total storage","998020","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2012/13","September-August","Soybeans","On-farm storage","On-farm storage","171100","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2012/13","September-August","Soybeans","Off-farm storage","Off-farm storage","263564","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2012/13","September-August","Soybeans","Total storage","Total storage","434664","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2012/13","September-August","Soybeans","On-farm storage","On-farm storage","39550","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2012/13","September-August","Soybeans","Off-farm storage","Off-farm storage","101007","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2012/13","September-August","Soybeans","Total storage","Total storage","140557","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2013/14","September-August","Soybeans","On-farm storage","On-farm storage","955000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2013/14","September-August","Soybeans","Off-farm storage","Off-farm storage","1198621","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2013/14","September-August","Soybeans","Total storage","Total storage","2153621","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2013/14","September-August","Soybeans","On-farm storage","On-farm storage","381900","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2013/14","September-August","Soybeans","Off-farm storage","Off-farm storage","611928","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2013/14","September-August","Soybeans","Total storage","Total storage","993828","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2013/14","September-August","Soybeans","On-farm storage","On-farm storage","109100","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2013/14","September-August","Soybeans","Off-farm storage","Off-farm storage","295945","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2013/14","September-August","Soybeans","Total storage","Total storage","405045","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2013/14","September-August","Soybeans","On-farm storage","On-farm storage","21325","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2013/14","September-August","Soybeans","Off-farm storage","Off-farm storage","70666","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2013/14","September-August","Soybeans","Total storage","Total storage","91991","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2014/15","September-August","Soybeans","On-farm storage","On-farm storage","1218000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2014/15","September-August","Soybeans","Off-farm storage","Off-farm storage","1309744","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2014/15","September-August","Soybeans","Total storage","Total storage","2527744","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2014/15","September-August","Soybeans","On-farm storage","On-farm storage","609200","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2014/15","September-August","Soybeans","Off-farm storage","Off-farm storage","717399","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2014/15","September-August","Soybeans","Total storage","Total storage","1326599","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2014/15","September-August","Soybeans","On-farm storage","On-farm storage","246300","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2014/15","September-August","Soybeans","Off-farm storage","Off-farm storage","380768","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2014/15","September-August","Soybeans","Total storage","Total storage","627068","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2014/15","September-August","Soybeans","On-farm storage","On-farm storage","49700","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2014/15","September-August","Soybeans","Off-farm storage","Off-farm storage","140910","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2014/15","September-August","Soybeans","Total storage","Total storage","190610","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2015/16","September-August","Soybeans","On-farm storage","On-farm storage","1308500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2015/16","September-August","Soybeans","Off-farm storage","Off-farm storage","1405577","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2015/16","September-August","Soybeans","Total storage","Total storage","2714077","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2015/16","September-August","Soybeans","On-farm storage","On-farm storage","727500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2015/16","September-August","Soybeans","Off-farm storage","Off-farm storage","803406","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2015/16","September-August","Soybeans","Total storage","Total storage","1530906","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2015/16","September-August","Soybeans","On-farm storage","On-farm storage","281300","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2015/16","September-August","Soybeans","Off-farm storage","Off-farm storage","590481","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2015/16","September-August","Soybeans","Total storage","Total storage","871781","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2015/16","September-August","Soybeans","On-farm storage","On-farm storage","41560","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2015/16","September-August","Soybeans","Off-farm storage","Off-farm storage","155169","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2015/16","September-August","Soybeans","Total storage","Total storage","196729","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2016/17","September-August","Soybeans","On-farm storage","On-farm storage","1335000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2016/17","September-August","Soybeans","Off-farm storage","Off-farm storage","1564056","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2016/17","September-August","Soybeans","Total storage","Total storage","2899056","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2016/17","September-August","Soybeans","On-farm storage","On-farm storage","668500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2016/17","September-August","Soybeans","Off-farm storage","Off-farm storage","1070433","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2016/17","September-August","Soybeans","Total storage","Total storage","1738933","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2016/17","September-August","Soybeans","On-farm storage","On-farm storage","332500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
